0,City,Country,Latitude,Temperature,Humidity,Cloud Cover,Wind Speed,Date
<citipy.citipy.City object at 0x0000020760F94CC0>,talnakh,ru,69.49,-15.22,44,12,3.04,1521786725
<citipy.citipy.City object at 0x000002075F781C88>,hobart,au,-42.88,73.4,38,20,10.29,1521784800
<citipy.citipy.City object at 0x000002076060C710>,semey,kz,50.41,40.41,100,88,11.88,1521787015
<citipy.citipy.City object at 0x000002075F961358>,capreol,ca,46.71,19.4,62,40,11.41,1521784800
<citipy.citipy.City object at 0x000002076129C5F8>,morgan city,us,29.7,53.62,93,1,7.18,1521784560
<citipy.citipy.City object at 0x00000207615B0CF8>,port elizabeth,za,39.31,37.4,64,1,6.93,1521784560
<citipy.citipy.City object at 0x000002075FDCFCC0>,puerto ayora,ec,-0.74,80.1,100,8,5.5,1521786684
<citipy.citipy.City object at 0x0000020760748EF0>,praxedis guerrero,mx,31.37,68,22,40,3.36,1521784260
<citipy.citipy.City object at 0x0000020760BD1080>,saint-philippe,re,45.36,26.96,92,1,6.29,1521785700
<citipy.citipy.City object at 0x000002075F8FE748>,santa ines,br,-0.82,51.8,93,40,4.7,1521784800
<citipy.citipy.City object at 0x00000207606692B0>,tsihombe,mg,,,,,,
<citipy.citipy.City object at 0x0000020760865940>,kaitangata,nz,-46.28,54.18,96,92,5.06,1521786714
<citipy.citipy.City object at 0x00000207608710B8>,southbridge,nz,42.08,34.61,50,1,12.75,1521784560
<citipy.citipy.City object at 0x0000020760F31400>,provideniya,ru,64.42,30.06,88,36,30.56,1521787018
<citipy.citipy.City object at 0x000002075F7459E8>,malanje,ao,-9.54,63.72,94,88,2.48,1521787019
<citipy.citipy.City object at 0x000002075F78B9E8>,moranbah,au,-22,80.1,62,92,16.69,1521787019
<citipy.citipy.City object at 0x000002075F78BE48>,mount gambier,au,-37.83,79.47,49,88,7.96,1521786750
<citipy.citipy.City object at 0x00000207607AD7B8>,gua musang,my,4.88,84.51,67,48,2.04,1521787020
<citipy.citipy.City object at 0x00000207610EAE10>,asau,tv,,,,,,
<citipy.citipy.City object at 0x000002075F77A8D0>,busselton,au,-33.64,74.79,84,0,14,1521786680
<citipy.citipy.City object at 0x00000207611ED7B8>,rancho palos verdes,us,33.75,56.21,93,90,3.36,1521785160
<citipy.citipy.City object at 0x000002076018B860>,westport,ie,53.8,39.2,93,75,13.87,1521784800
<citipy.citipy.City object at 0x0000020760ED82B0>,nikolskoye,ru,59.7,24.8,92,90,22.37,1521784800
<citipy.citipy.City object at 0x000002075FF7C898>,maniitsoq,gl,65.42,3.78,90,36,6.06,1521787021
<citipy.citipy.City object at 0x000002076017ADD8>,dingle,ie,11,83.79,63,48,13.22,1521786747
